example_id,customer_text,intent,action,escalation_reason,draft_reply,evidence_customer_text,evidence_historical_reply,human_groundedness,judge_groundedness,human_helpfulness,judge_helpfulness,human_safety,judge_safety,human_tone,judge_tone,human_rater_id,judge_model,notes
G136,@AppleSupport #AppleTv keeps switching to 4K SDR from HDR after waking from sleep. I have #Samsung 6 Series and HDMI cable from Apple Store,billing_subscription,escalate,low_intent_confidence,@customer Thank you for that information. Let us know what happens when you try the following: Test the power adapter in another power outlet. Try using another lightning cable with the same power adapter. Connect the iPhone to the USB port of a computer with the first cable.,"@AppleSupport cable and power adapter and yes, it still vibrates while it’s on the charger",@237227 Thank you for that information. Let us know what happens when you try the following: Test the power adapter in another power outlet. Try using another lightning cable with the same power adapter. Connect the iPhone to the USB port of a computer with the first cable.,4,4,4,1,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Grounded historical wording is irrelevant to Apple TV HDR behavior.
G160,"@AppleSupport Latest IOS 11.0.3 update has ruined my phone. No videos play, messages don’t appear, SLOW SLOW SLOW AF. Unacceptable#Galaxy",device_technical_issue,auto_handle,safe_general_guidance,@customer We want to investigate this further. When did you update to iOS 11.0.2? You can send us a DM with your answer. https://t.co/GDrqU22YpT,Everything on the iPhone 5S is Slow after iOS11 update. Why even provide update if it makes phone slow? 🤦🏻‍♂️ @115858 @AppleSupport,@536511 We want to investigate this further. When did you update to iOS 11.0.2? You can send us a DM with your answer. https://t.co/GDrqU22YpT,4,4,4,2,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Asks about the wrong iOS version but safely hands off.
G012,@AppleSupport my storage on my phone is messed up. It's deleted all of my messages and photos so I have nothing on my phone and still full!,device_technical_issue,escalate,low_intent_confidence,"@customer We'd love to help. DM us what issues you're seeing, and if you've updated to 11.1 and we'll team up to get them resolved. https://t.co/GDrqU22YpT",@AppleSupport I’m disgusted. The 11.0 updates were nothing but viruses! My iPhone 6plus is all messed up. Please help!,"@594013 We'd love to help. DM us what issues you're seeing, and if you've updated to 11.1 and we'll team up to get them resolved. https://t.co/GDrqU22YpT",4,4,4,3,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Safe generic troubleshooting for storage loss.
G125,.@AppleSupport - frustrated Long-term customer. Holding on phone &gt; 55 min. Then phone w/ rep couldn’t help change ship address hung up on me,feedback_complaint,escalate,high_emotion_or_feedback,We’re sorry this experience has been frustrating. We appreciate the feedback and would like to understand what happened.,"@AppleSupport I’m hesitant to make the conversation private, you might just leave me on read like y’all hung up on me... happy to listen here! Thanks","@729341 As we'll need to gather personal information in order to look into this with you, we'd like to continue the conversation in DM for your privacy. https://t.co/GDrqU2kzhr",4,3,4,2,5,4,5,4,friend_review,gpt-5.6-terra_manual_rubric,Fallback is empathic but omits the required private shipping-address action.
G181,@115858 @AppleSupport @188 why is it I can only go on fb messenger ONLY on wifi but everyone else I know doesn’t have to use their wifi to access it,how_to,auto_handle,safe_general_guidance,"@customer Try deleting Snapchat, restart, then reinstall. Let us know if that helps.",@AppleSupport It only pauses when I get a Snapchat notification. Restarting doesn’t help,"@802520 Try deleting Snapchat, restart, then reinstall. Let us know if that helps.",4,4,4,1,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Reply incorrectly discusses Snapchat instead of Messenger connectivity.
G013,@677369 @AppleSupport Mine have been out of order forever too never got it back to normal if you figure it out lmk!,order_delivery,escalate,account_or_transaction_action,@customer We certainly want to help. Go ahead and DM us and we'll be glad to continue there. https://t.co/GDrqU22YpT,@AppleSupport we have been trying to resolve an issue with a iPhone order and have spoken to 5 people who all promise a call back and don’t.,@480065 We certainly want to help. Go ahead and DM us and we'll be glad to continue there. https://t.co/GDrqU22YpT,4,4,4,3,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Safe general DM handoff for an unclear follow-up.
G108,@AppleSupport just downloaded 11.2. All excited to use Apple Pay Cash. No Apple Pay Cash card in my wallet or tab to select in Settings...,other,escalate,ambiguous_or_out_of_scope,"@customer If you're in the US, those features will require iOS 11.2 and will begin rolling out early next week. https://t.co/GDrqU22YpT",Hey @AppleSupport Any chance we can turn on Apple Pay Cash after I spent an hour of my weekend updating after being told in the notes Apple Pay Cash was here?,"@249945 If you're in the US, those features will require iOS 11.2 and will begin rolling out early next week. https://t.co/GDrqU22YpT",4,4,4,4,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Direct and historically grounded feature rollout guidance.
G165,@AppleSupport my ipad's speaker damaged. Reason is unknown. Apple service centre refused to repair it. My favourite device....m really sad 😔 https://t.co/pRCunQeIvJ,repair_service,escalate,repair_case_specific,"We can help with service options. Please contact Apple Support privately with the product and issue, without sharing serial numbers publicly.","@AppleSupport Wifi shuts down for no reason, Bluetooth won’t connect properly, have to switch it all off and repair again and even then no guarantee it will work. Phone shuts off during calls have to re-boot","@352038 OK got it. We'd be happy to further investigate those issues today, send us a DM to continue. https://t.co/GDrqU22YpT",4,3,4,3,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Fallback is safe and relevant but less specifically grounded than the source.
G090,"@AppleSupport Hello, I just got a scam email from (__email__) with a name that appears as ""Apple ID"", talking about fake purchases and asking me to click on the attached ""receipt""",account_access_security,escalate,sensitive_data,@customer. Please DM us so that we can continue to look into this together. https://t.co/GDrqU22YpT,"@AppleSupport And if I delete the alias and create a new Apple ID, could I bring all of my devices and purchases to the new one?",@128115. Please DM us so that we can continue to look into this together. https://t.co/GDrqU22YpT,4,4,4,4,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Appropriate private handling for a phishing report.
G083,@AppleSupport Crowdfire asked me to get in contact with you for a refund but the app is more than 90 days old.,billing_subscription,escalate,account_or_transaction_action,@customer We're here to help. You may be able to get this taken care of here: https://t.co/TnACmwZbFZ,@AppleSupport I purchase something wrongly and i want to refund it how can i do that ?,@682308 We're here to help. You may be able to get this taken care of here: https://t.co/TnACmwZbFZ,4,4,4,3,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Helpful refund link but it does not resolve eligibility.
G126,"@699174 @AppleSupport @62155 This is exactly what I've been trying to do with a long press on my iPhone 6 when I switched to iOS 11, but yeah never worked :/",device_technical_issue,auto_handle,safe_general_guidance,@customer We'd be happy to look into this with you further. DM us using the link below and we'll go from there. https://t.co/GDrqU22YpT,@AppleSupport It has never worked in any app for a few years now. I've tested on iPhone 6 and iPhone X. Can you make it work on your iPhone?,@224487 We'd be happy to look into this with you further. DM us using the link below and we'll go from there. https://t.co/GDrqU22YpT,4,4,4,3,5,4,5,4,friend_review,gpt-5.6-terra_manual_rubric,Safe but the auto-handled response requests a DM.
G006,@AppleSupport Messages from other people,device_technical_issue,escalate,low_intent_confidence,"@customer OK. Rest assured, your iPhone is functioning normally. If you see messages that look similar to the screenshot you sent over, the issue is not with your device.",@AppleSupport No. I just frequently see this error when I’m reading other people’s tweets.,"@794742 OK. Rest assured, your iPhone is functioning normally. If you see messages that look similar to the screenshot you sent over, the issue is not with your device.",4,4,4,1,5,3,5,4,friend_review,gpt-5.6-terra_manual_rubric,Unsupported reassurance is risky because the context is absent.
G071,@AppleSupport What's the reply time? I sent an email on Friday. Thanks.,feedback_complaint,escalate,high_emotion_or_feedback,@customer Great! We've received your DMs and will continue with you there.,@AppleSupport Thanks! I've sent you a DM,@281444 Great! We've received your DMs and will continue with you there.,4,4,4,1,5,4,5,4,friend_review,gpt-5.6-terra_manual_rubric,Claims DMs were received without evidence.
G020,@AppleSupport what is this?! My friends and I are getting this and it turns I️’s in A with a ? or box beside it. @115858 https://t.co/RFAZ7cKedL,how_to,auto_handle,safe_general_guidance,@customer We can work together to see what's going on. Can you tell us the iPhone model and current iOS version? Does this occur after a restart. Meet us in DM with those details. https://t.co/GDrqU22YpT,@AppleSupport I have a contact picture for all my friends but when they call me it doesn’t show up full screen 🤦🏾‍♀️,@802217 We can work together to see what's going on. Can you tell us the iPhone model and current iOS version? Does this occur after a restart. Meet us in DM with those details. https://t.co/GDrqU22YpT,4,4,4,3,5,4,5,4,friend_review,gpt-5.6-terra_manual_rubric,Relevant questions but a DM handoff conflicts with auto handling.
G111,"First my order gets messed up (but hopefully still reserved!!) then @AppleSupport is unavailable to chat. Rough day for everyone, I'm sure!😩",order_delivery,escalate,account_or_transaction_action,@customer We appreciate your interest and encourage you to stay up to date on Apple news here: https://t.co/gbIPLOsnZd,@AppleSupport I'm planning on getting the iPhone X but with the upgrade program that you have will I still have to pre order the phone,@136075 We appreciate your interest and encourage you to stay up to date on Apple news here: https://t.co/gbIPLOsnZd,4,4,4,2,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Marketing page is not enough for a broken reservation.
G027,@AppleSupport BITCH I️ CANT TYPE THE LETTER “II” what’s going on,other,escalate,ambiguous_or_out_of_scope,@customer Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,@AppleSupport what’s going on with the “I’s” https://t.co/YIhRADmZSs,@198366 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,4,4,4,3,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Safe workaround direction for keyboard issue.
G184,Dear @AppleSupport why do you make it hard to get a Genius Bar appt? I have a crippled iPad &amp; I don't want to chat. I want to have it fixed.,repair_service,escalate,repair_case_specific,@customer We'd be happy to document your commendation regarding your in-store experience. Send us a DM with details and we'll go from there. https://t.co/GDrqU22YpT,@AppleSupport want to send a commendation to the employee who helped me at the genius bar yesterday. How do I do that?,@740338 We'd be happy to document your commendation regarding your in-store experience. Send us a DM with details and we'll go from there. https://t.co/GDrqU22YpT,4,4,4,1,5,4,5,3,friend_review,gpt-5.6-terra_manual_rubric,Incorrectly calls a repair complaint a commendation.
G010,"@AppleSupport lost all my contacts, photos and it won't let me sign into iCloud 😫",account_access_security,escalate,account_or_transaction_action,@customer We'd be happy to help out with this. Send us a DM. https://t.co/GDrqU22YpT,When you suddenly can't sign into your #iCloud account &amp; @AppleSupport wants you to report the problem...by signing into your iCloud account.,@684193 We'd be happy to help out with this. Send us a DM. https://t.co/GDrqU22YpT,4,4,4,4,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Appropriate concise private account handoff.
G001,"Dear @AppleSupport you removed some paid apps from the app store, please refund me.",billing_subscription,escalate,account_or_transaction_action,@customer We are always happy to assist you here. Let us know what issues you are seeing on your device there.,@AppleSupport I paid good money for this phone,@818713 We are always happy to assist you here. Let us know what issues you are seeing on your device there.,4,4,4,1,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Generic device wording does not address requested refund.
G098,"@AppleSupport Hi, I received my new iPhone X today. Experiencing a green line at the right side of my phone. What to do? Live in Holland btw.",device_technical_issue,auto_handle,safe_general_guidance,@customer Let's look into this for you. This is not the experience we want you to have. Send us a DM and we can go over some options. https://t.co/GDrqU22YpT,"@AppleSupport what to do with the green line in the iphone X, i got yesterday.",@784494 Let's look into this for you. This is not the experience we want you to have. Send us a DM and we can go over some options. https://t.co/GDrqU22YpT,4,4,4,3,5,4,5,4,friend_review,gpt-5.6-terra_manual_rubric,Safe private option but auto handling label is inconsistent.
G142,@AppleSupport Are you available after 8 pm? Or should I connect with you earlier,device_technical_issue,escalate,low_intent_confidence,"@customer Help is here! If you're able to update your device, we recommend it. Be sure to create a data backup prior to the update. Here's an article to help you get started: https://t.co/4f8hwT5to6",@AppleSupport my phone is 9.2.1 should I update it?,"@758999 Help is here! If you're able to update your device, we recommend it. Be sure to create a data backup prior to the update. Here's an article to help you get started: https://t.co/4f8hwT5to6",4,4,4,1,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Reply about updating devices does not answer availability hours.
G132,@115858 @AppleSupport I hate you #iOS11 https://t.co/IWLt9PgFEP,feedback_complaint,escalate,high_emotion_or_feedback,@customer Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,@AppleSupport I️ hate this glitch help,@521567 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,4,4,4,2,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Generic workaround may help but tweet gives no specific symptom.
G091,Hey @AppleSupport why does my Messages app keep closing? https://t.co/rsVhsjIL1K,how_to,auto_handle,safe_general_guidance,@customer Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,@AppleSupport why does this keep happening? I️,@503597 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,4,4,4,3,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Reasonable workaround for a Messages crash.
G149,"@AppleSupport Okay so when I try to send a message in a group chat, the text box doesn’t appear, as if I were removed from the conversation or if I left, but neither of those were the case. I have to be removed and added again in order to talk. Also, Apple Music keeps continually crashing.",order_delivery,escalate,account_or_transaction_action,We can look into the order through a private support channel. Please do not post your order number publicly.,"@AppleSupport My device is a iPhone 6s, &amp; I have iOS 11.1.1 software. Every time I have iMessage available &amp; I send a msg, I get the “Not Delivered” notification. Then the “Sent as Text Message” notification &amp; a green msg bubble shows. Then from that point on I can only send txt msgs.","@713092 Thank you for that information. Is this occurring with all messages, or only with ones to certain contacts? Does the issue persist after you restart following these steps: https://t.co/OWRDHWSt4h",4,1,4,1,5,4,5,3,friend_review,gpt-5.6-terra_manual_rubric,Order fallback is unsupported and irrelevant to group messaging and Music crashes.
G079,@AppleSupport - how come whenever I turn off my phone and turn it back on it reads all my unread messages and clears my call log,other,escalate,ambiguous_or_out_of_scope,@customer Let's look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,@176772 @AppleSupport Same here but mine keeps switching itself off and I have to turn it back on 😡😡😡😡,@187559 Let's look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,4,4,4,3,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Safe generic DM handoff for a restart behavior.
G046,@AppleSupport i want to set up an appointment at the Philadelphia genius bar. how can i do that?,repair_service,escalate,repair_case_specific,@customer We'd be happy to document your commendation regarding your in-store experience. Send us a DM with details and we'll go from there. https://t.co/GDrqU22YpT,@AppleSupport want to send a commendation to the employee who helped me at the genius bar yesterday. How do I do that?,@740338 We'd be happy to document your commendation regarding your in-store experience. Send us a DM with details and we'll go from there. https://t.co/GDrqU22YpT,4,4,4,1,5,4,5,3,friend_review,gpt-5.6-terra_manual_rubric,Incorrectly treats Genius Bar booking as in-store commendation.
G018,@AppleSupport Or it says could not sign in,account_access_security,escalate,account_or_transaction_action,"@customer If you restart the device, does the behavior continue? DM us the results. https://t.co/GDrqU22YpT","@AppleSupport Yea it only happens in the iTunes app, and I’m able to sign in with 0 problems","@713693 If you restart the device, does the behavior continue? DM us the results. https://t.co/GDrqU22YpT",4,4,4,3,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Safe basic troubleshooting for a sign-in failure.
G097,"@AppleSupport Dear support, I attached the picture of an invoice we received, purchasing iCloud space. We think it's fake. Can u confirm? https://t.co/dbOa50dspe",billing_subscription,escalate,account_or_transaction_action,@customer We've received your DM and will respond there shortly.,Hi @AppleSupport please read the PM that I sent you about a (supposedly) fake invoice! Hope you can help out.,@677410 We've received your DM and will respond there shortly.,4,4,4,3,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Safe private handling for possibly fake invoice.
G035,Hey @AppleSupport I logged a 3.1 mile walk on my Apple watch on 11/23 and I didn’t get my special badge. What gives?,device_technical_issue,auto_handle,safe_general_guidance,@customer Hello there! We'd be glad to provide some information on using apps with your Apple Watch. Check out the following article and let us know if you have any questions: https://t.co/WvmHrJTkFm,Hey @AppleSupport can I get @115888 on my Apple Watch series 3?,@679456 Hello there! We'd be glad to provide some information on using apps with your Apple Watch. Check out the following article and let us know if you have any questions: https://t.co/WvmHrJTkFm,4,4,4,2,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Generic Apple Watch app guidance misses the missing badge question.
G191,@AppleSupport I*,device_technical_issue,escalate,low_intent_confidence,"Sorry you’re having trouble. Please share the product, software version, and what happens when you try, and we’ll help narrow it down.",@AppleSupport I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?,@115863 Go ahead and send us a DM please. Let us know the country you're in.,4,3,4,3,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Fallback is safe for a fragment but not sourced from evidence.
G028,@AppleSupport Thank you so much 😭,feedback_complaint,escalate,high_emotion_or_feedback,"@customer You're most welcome! Please let us know if you need any more help, and we'll be here for you. https://t.co/GDrqU22YpT",@AppleSupport thank you so much :-),"@794339 You're most welcome! Please let us know if you need any more help, and we'll be here for you. https://t.co/GDrqU22YpT",4,4,4,5,5,5,5,5,friend_review,gpt-5.6-terra_manual_rubric,Appropriate acknowledgement after thanks.
G032,@AppleSupport how can i take the iOS 11.1 OFF of my phone ? Every time I️ type something it pops up as A? &amp; it’s annoying I️ want it off,how_to,auto_handle,safe_general_guidance,@customer Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,@AppleSupport Can we start with what is going on here with that A ? That pops up? https://t.co/mjyQTry7Vd,@488024 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,4,4,4,4,5,4,5,4,friend_review,gpt-5.6-terra_manual_rubric,Useful workaround with a private follow-up.
G033,@AppleSupport Does ‘Your iPhone is reserved’ due to carrier systems mean that I have a phone reserved for store pickup or just for shipping?,order_delivery,escalate,account_or_transaction_action,@customer Our Sales team would best be able to assist you with that. You can contact them here: https://t.co/8yjRd1Xo0i,@AppleSupport how long does it take to receive email to pre-order phone after you've had it reserved. Did it online on the apple store?,@163613 Our Sales team would best be able to assist you with that. You can contact them here: https://t.co/8yjRd1Xo0i,4,4,4,4,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Direct safe referral to sales for reservation status.
G113,"@AppleSupport Yes, in the contacts app the names show up as they should.",other,escalate,ambiguous_or_out_of_scope,"@customer After you restarted the device, did it begin to charge normally? Were you using the iPhone while it was charging? If so, what applications were you using? Is this the first time this has happened?","@AppleSupport Yes, 8%","@229935 After you restarted the device, did it begin to charge normally? Were you using the iPhone while it was charging? If so, what applications were you using? Is this the first time this has happened?",4,4,4,1,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Irrelevant charging questions for a contacts follow-up.
G043,@AppleSupport can I make a repair reservation for my MacBook online?,repair_service,escalate,repair_case_specific,"@customer We'd like to learn more about the trouble you're having with your MacBook Pro and explore our options to assist. Meet us in DM, we'll continue from there. https://t.co/GDrqU22YpT","@AppleSupport @116333 my new Macbook Pro died and the promised 3-5 day repair time is now well into 10 days, with the store being clueless. Cooool.","@266323 We'd like to learn more about the trouble you're having with your MacBook Pro and explore our options to assist. Meet us in DM, we'll continue from there. https://t.co/GDrqU22YpT",4,4,4,2,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Requests issue details instead of answering online reservation question.
G072,"@AppleSupport Yes, both! I'm not getting an error, it just doesn't download. Every once in a while it will ask me to log into itunes again and verify with fingerprint,but then it just thinks forever and nothing happens until it asks me again",account_access_security,escalate,account_or_transaction_action,"@customer You've come to the right place! We'll see about getting your Mac up and running again. First, was this an update from a previous version, or were you doing the 10.13.1 update? While you're checking, read about startup screens here: https://t.co/3WncOWIQW8",@AppleSupport just updated. What’s going on with this. I can’t log in. https://t.co/ogXNFcNMWL,"@264984 You've come to the right place! We'll see about getting your Mac up and running again. First, was this an update from a previous version, or were you doing the 10.13.1 update? While you're checking, read about startup screens here: https://t.co/3WncOWIQW8",4,4,4,1,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Mac startup response is irrelevant to iTunes verification loop.
G005,@115858 @AppleSupport @115948 @115858 I have subscribed for Apple Music and still it doesn’t work! This should not happen if I’m not wrong! https://t.co/EOJDkgWlU3,billing_subscription,escalate,account_or_transaction_action,@customer We'd love to help you enjoy your music! When you go to Settings &gt; Music is iCloud Music Library turned on?,@AppleSupport I can’t play my Apple Music offline. I subscribed for 3 months yesterday. I’ve enabled iCloud music and the songs are downloaded yet they still don’t play. Can you help?,@462522 We'd love to help you enjoy your music! When you go to Settings &gt; Music is iCloud Music Library turned on?,4,4,4,4,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Relevant Apple Music setting question.
G115,@AppleSupport looks like someone thought the box had an iPhone In it. Can I just return old one to store? https://t.co/jS5wXzS7vt,device_technical_issue,auto_handle,safe_general_guidance,@customer Thanks for reaching out. Go ahead &amp; DM us so we can look into this further with you. We'll be glad to help! https://t.co/GDrqU22YpT,@AppleSupport my iPhone 7 never had an adapter in the box for my headphones,@567808 Thanks for reaching out. Go ahead &amp; DM us so we can look into this further with you. We'll be glad to help! https://t.co/GDrqU22YpT,4,4,4,3,5,4,5,4,friend_review,gpt-5.6-terra_manual_rubric,Safe private handoff but auto handle classification is debatable.
G145,@AppleSupport Yes all devices. IOS 11.1.2,device_technical_issue,escalate,low_intent_confidence,@customer Please send us a DM so we can gather some more information and move forward. https://t.co/GDrqU22YpT,@AppleSupport Yes it works with other devices and iPhone 7,@729907 Please send us a DM so we can gather some more information and move forward. https://t.co/GDrqU22YpT,4,4,4,3,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Appropriate generic DM request for a context-only reply.
G057,"@AppleSupport Thanks, but I don't have time for that (pardon the pun). I set up a cron job to sync the clock.",feedback_complaint,escalate,high_emotion_or_feedback,"@customer You’re welcome! If you have any other questions, let us know. We’re available every day from 5 a.m. to 8 p.m. Pacific time.",@AppleSupport Thanks!!!,"@143664 You’re welcome! If you have any other questions, let us know. We’re available every day from 5 a.m. to 8 p.m. Pacific time.",4,4,4,4,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Appropriate courteous close after user self-resolved.
