example_id,intent,expected_route,escalation_reason,review_status,review_notes
G038,other,escalate,ambiguous,author_reviewed_ai_assisted,me-too reply
G039,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,Turkish repair/service delay
G040,other,escalate,ambiguous,author_reviewed_ai_assisted,issue already resolved without clear task
G041,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,camera display artifact
G042,order_delivery,escalate,billing_or_order_action,author_reviewed_ai_assisted,carrier shipment delay
G043,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,repair booking
G044,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,Siri language limitation
G045,feedback_complaint,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,positive feedback
G046,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,Genius Bar booking
G047,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,MacBook failure
G048,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,autocorrect issue
G049,account_access_security,escalate,account_or_security,author_reviewed_ai_assisted,email-password concern
G050,order_delivery,escalate,billing_or_order_action,author_reviewed_ai_assisted,late preorder
G051,device_technical_issue,escalate,ambiguous,author_reviewed_ai_assisted,multiple unrelated symptoms
G052,account_access_security,escalate,account_or_security,author_reviewed_ai_assisted,keychain password prompts
G053,billing_subscription,escalate,billing_or_order_action,author_reviewed_ai_assisted,subscription card failure
G054,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,out-of-warranty replacement
G055,account_access_security,escalate,account_or_security,author_reviewed_ai_assisted,Apple ID recovery
G056,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,Genius Bar service question
G057,feedback_complaint,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,acknowledgement
G058,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,app download failure
G059,order_delivery,escalate,billing_or_order_action,author_reviewed_ai_assisted,shipment date request
G060,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,storage and deleted content issue
G061,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,software update availability
G062,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,Genius Bar access
G063,other,escalate,ambiguous,author_reviewed_ai_assisted,incomplete device context
G064,feedback_complaint,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,mild feature feedback
G065,other,escalate,ambiguous,author_reviewed_ai_assisted,context-only reply
G066,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,crashed Mac after update
G067,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,update and music issue
G068,billing_subscription,escalate,billing_or_order_action,author_reviewed_ai_assisted,paid support/billing complaint
G069,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,lock-screen music behavior
G070,account_access_security,escalate,account_or_security,author_reviewed_ai_assisted,forgot Apple ID password
G071,feedback_complaint,escalate,ambiguous,author_reviewed_ai_assisted,existing email support case
G072,account_access_security,escalate,account_or_security,author_reviewed_ai_assisted,iTunes verification loop
G073,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,watch charging fault
G074,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,battery drain
G075,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,battery drain after update
G076,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,blocked-number behavior
G077,other,escalate,ambiguous,author_reviewed_ai_assisted,incomplete update context
G078,feedback_complaint,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,acknowledgement
G079,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,call-log and message issue
G080,how_to,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,activity classification question
G081,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,keyboard rendering issue
G082,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,battery drain and charging
G083,billing_subscription,escalate,billing_or_order_action,author_reviewed_ai_assisted,refund request
G084,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,repeated restore issue
G085,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,photos cannot share
G086,how_to,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,follow-up for setup instructions
G087,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,app placement issue
G088,billing_subscription,escalate,billing_or_order_action,author_reviewed_ai_assisted,paid app removed
G089,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,out-of-box issue
G090,account_access_security,escalate,sensitive_data,author_reviewed_ai_assisted,phishing email contains masked address
G091,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,Messages app closing
G092,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,keyboard rendering issue
G093,billing_subscription,escalate,billing_or_order_action,author_reviewed_ai_assisted,refund request
G094,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,Bluetooth/Wi-Fi behavior
G095,how_to,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,storage management question
G096,repair_service,escalate,sensitive_data,author_reviewed_ai_assisted,appointment cancellation with case ID
G097,billing_subscription,escalate,sensitive_data,author_reviewed_ai_assisted,invoice verification
G098,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,green display line on new device
G099,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,Face ID behavior
G100,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,Face ID reliability
G101,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,music missing after update
G102,feedback_complaint,escalate,high_emotion,author_reviewed_ai_assisted,feature request
G103,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,slow phone after update
G104,how_to,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,camera setting question
G105,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,keyboard rendering issue
G106,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,app icons disappear
G107,how_to,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,setting request
G108,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,Apple Pay Cash missing
G109,order_delivery,escalate,billing_or_order_action,author_reviewed_ai_assisted,shipment delay
G110,billing_subscription,escalate,billing_or_order_action,author_reviewed_ai_assisted,unauthorized charge
G111,order_delivery,escalate,billing_or_order_action,author_reviewed_ai_assisted,order status and support access
G112,order_delivery,escalate,billing_or_order_action,author_reviewed_ai_assisted,stock/delivery availability
G113,other,escalate,ambiguous,author_reviewed_ai_assisted,context-only confirmation
G114,how_to,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,charging advice question
G115,order_delivery,escalate,billing_or_order_action,author_reviewed_ai_assisted,return/trade-in context
G116,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,keyboard rendering issue
G117,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,screen banding
G118,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,photos missing
G119,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,keyboard rendering issue
G120,other,escalate,ambiguous,author_reviewed_ai_assisted,context-only confirmation
G121,account_access_security,escalate,account_or_security,author_reviewed_ai_assisted,expired iTunes session
G122,order_delivery,escalate,billing_or_order_action,author_reviewed_ai_assisted,upgrade-program availability
G123,order_delivery,escalate,billing_or_order_action,author_reviewed_ai_assisted,order confirmation missing
G124,how_to,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,find liner notes
G125,order_delivery,escalate,billing_or_order_action,author_reviewed_ai_assisted,shipping-address change
G126,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,long-press problem
G127,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,predictive text bug
G128,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,keyboard rendering issue
G129,feedback_complaint,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,resolved acknowledgement
G130,order_delivery,escalate,billing_or_order_action,author_reviewed_ai_assisted,reservation lookup
G131,billing_subscription,escalate,billing_or_order_action,author_reviewed_ai_assisted,old account subscription charges
G132,feedback_complaint,escalate,high_emotion,author_reviewed_ai_assisted,negative feedback
G133,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,iOS functionality issue
G134,other,escalate,ambiguous,author_reviewed_ai_assisted,context-only charger confirmation
G135,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,slow phone and keyboard issue
G136,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,Apple TV display setting issue
G137,order_delivery,escalate,billing_or_order_action,author_reviewed_ai_assisted,preorder app error
G138,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,Bluetooth turns on
G139,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,system-storage fluctuation
G140,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,screen recorder failure
G141,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,camera and keyboard issue
G142,other,escalate,ambiguous,author_reviewed_ai_assisted,availability question
G143,feedback_complaint,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,resolved acknowledgement
G144,how_to,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,adapter safety question
G145,other,escalate,ambiguous,author_reviewed_ai_assisted,context-only version response
G146,order_delivery,escalate,billing_or_order_action,author_reviewed_ai_assisted,network availability
G147,other,escalate,ambiguous,author_reviewed_ai_assisted,context-only version response
G148,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,cracked watch screen
G149,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,group-message and Music crash
G150,account_access_security,escalate,account_or_security,author_reviewed_ai_assisted,sign-in page loop
G151,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,international repair availability
G152,feedback_complaint,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,thanks only
G153,account_access_security,escalate,account_or_security,author_reviewed_ai_assisted,password prompt behavior
G154,order_delivery,escalate,billing_or_order_action,author_reviewed_ai_assisted,store-pickup order
G155,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,out-of-warranty Mac issue
G156,feedback_complaint,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,thanks only
G157,feedback_complaint,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,resolved acknowledgement
G158,how_to,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,Apple TV compatibility question
G159,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,battery percentage jump
G160,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,multiple update symptoms
G161,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,battery drain
G162,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,Wi-Fi state behavior
G163,billing_subscription,escalate,billing_or_order_action,author_reviewed_ai_assisted,AppleCare refund
G164,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,bricked phone
G165,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,damaged iPad speaker
G166,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,automatic connection behavior
G167,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,autocorrect issue
G168,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,unwanted app reappears
G169,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,random shutdown and charging fault
G170,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,repair access complaint
G171,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,iMessage stopped on iPad
G172,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,battery drain
G173,feedback_complaint,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,resolved acknowledgement
G174,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,multi-device repair appointment
G175,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,iTunes installation failure
G176,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,iMessage delivery failure
G177,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,charger fire safety issue
G178,device_technical_issue,escalate,ambiguous,author_reviewed_ai_assisted,multiple device/account symptoms
G179,feedback_complaint,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,resolved acknowledgement
G180,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,repeated Genius Bar service case
G181,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,cellular data behavior
G182,feedback_complaint,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,positive feedback
G183,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,battery life after iOS 11
G184,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,Genius Bar appointment
G185,feedback_complaint,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,appointment already scheduled
G186,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,High Sierra upgrade slow
G187,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,Spanish update complaint
G188,feedback_complaint,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,resolved acknowledgement
G189,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,update performance issue
G190,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,keyboard rendering issue
G191,other,escalate,ambiguous,author_reviewed_ai_assisted,fragment only
G192,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,me-too device issue
G193,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,battery and Wi-Fi issue
G194,how_to,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,feature availability question
G195,account_access_security,escalate,account_or_security,author_reviewed_ai_assisted,iMessage login failure
G196,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,High Sierra update issue
G197,account_access_security,escalate,account_or_security,author_reviewed_ai_assisted,account lock verification
G198,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,repair options
G199,order_delivery,escalate,billing_or_order_action,author_reviewed_ai_assisted,trade-in purchase question
G200,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,speaker hardware repair
